구,동,아파트,lan,lat,,,,,,
유성구,도룡동,스마트시티,127.3944,36.3772,,,,,,
유성구,도룡동,에스케이뷰,127.3753,36.3852,,,,,,
유성구,상대동,트리플시티,127.3348,36.3411,,,,,,
유성구,상대동,한라비발디,127.3339,36.3446,,,,,,
유성구,원신흥동,인스빌리베라,127.3454,36.343,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,`
