구,동,아파트,lan,lat,,,,,,
서구,둔산동,크로바,127.3928,36.3525,,,,,,
서구,둔산동,목련,127.3918,36.3504,,,,,,
서구,둔사동,영진햇님,127.3925,36.35629,,,,,,
서구,탄방동,e편한세상,127.3943,36.34255,,,,,,
서구,월평동,누리,127.3715,36.3588,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,`
