구,동,아파트,lan,lat,,,,,,
동구,가양동,아침마을,127.4393,36.34063,,,,,,
동구,대동,대동펜타뷰,127.4458,36.3276,,,,,,
동구,삼성동,한밭자이,127.4244,36.34099,,,,,,
동구,성남동,스마트뷰,127.4328,36.34294,,,,,,
동구,대성동,은어송마을,127.4582,36.3021,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,`
