"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210314"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 서구"
"읍면동 : 둔산동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 서구 둔산동","912","0912","0000","둥지","84.885","202101","4","53,700","8","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","70.55","202101","16","40,800","11","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","84.885","202101","21","55,000","10","1994","청사로 254","20210204"
"대전광역시 서구 둔산동","912","0912","0000","둥지","84.885","202101","21","55,000","10","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","70.55","202101","23","38,500","2","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","84.885","202101","25","58,000","12","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","84.885","202101","29","53,700","5","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","84.885","202101","30","52,500","5","1994","청사로 254",""
"대전광역시 서구 둔산동","912","0912","0000","둥지","70.55","202102","20","36,000","2","1994","청사로 254",""
"대전광역시 서구 둔산동","973","0973","0000","레자미2차","13.8893","202102","8","6,000","10","2012","둔지로 54",""
"대전광역시 서구 둔산동","1115","1115","0000","리마","45.7794","202101","25","18,500","4","2016","대덕대로175번길 30",""
"대전광역시 서구 둔산동","1093","1093","0000","리베라스위트빌","42.675","202101","22","8,000","8","2003","갈마역로 22",""
"대전광역시 서구 둔산동","1093","1093","0000","리베라스위트빌","38.6075","202102","16","7,650","11","2003","갈마역로 22",""
"대전광역시 서구 둔산동","1119","1119","0000","메르하우젠","58.84","202101","19","13,500","6","2004","대덕대로175번길 60",""
"대전광역시 서구 둔산동","1119","1119","0000","메르하우젠","82.64","202101","21","15,200","10","2004","대덕대로175번길 60",""
"대전광역시 서구 둔산동","1119","1119","0000","메르하우젠","82.64","202102","10","17,450","9","2004","대덕대로175번길 60",""
"대전광역시 서구 둔산동","1119","1119","0000","메르하우젠","42.44","202103","4","8,850","9","2004","대덕대로175번길 60",""
"대전광역시 서구 둔산동","1119","1119","0000","메르하우젠","42.44","202103","10","9,000","10","2004","대덕대로175번길 60",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","75.96","202101","1","70,000","12","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","134.88","202101","23","131,800","7","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","134.78","202101","27","115,000","1","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","75.96","202101","31","59,800","1","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","134.88","202102","6","124,000","5","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","134.78","202102","17","130,000","13","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","117.76","202102","19","107,000","1","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","134.88","202102","19","135,000","11","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","101.68","202103","13","100,000","5","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1510","1510","0000","목련","134.88","202103","13","130,000","5","1993","둔산남로 127",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","46.86","202101","5","22,600","7","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","6","14,700","3","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","6","11,400","1","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","7","14,300","4","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","8","15,500","8","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","46.86","202101","12","22,600","4","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","16","15,800","14","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","21","14,700","3","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","21","15,400","6","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","23","14,900","3","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","26","15,400","13","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","27","16,000","6","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202101","28","15,300","4","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202102","1","11,300","1","1991","둔산로 241",""
